date,ticker,spot,num_contracts,expirations,call_volume,put_volume,call_oi,put_oi,pc_volume_ratio,pc_oi_ratio,atm_iv,net_gex_total,gamma_magnet_strike,gamma_magnet_gex,gamma_gap_distance,gamma_gap_score,gamma_positive_zone
2026-08-03,SOXL,116.5876,1422,2026-08-07|2026-08-14|2026-08-21|2026-08-28,83392,139155,162785,401201,1.6686852455871066,2.464606689805572,1.99405,-26172.111,130.0,11023.293,13.412400000000003,13.025818770668383,1.0
2026-08-03,SPY,758.36,1354,2026-08-03|2026-08-04|2026-08-05|2026-08-06,5300889,4768459,499932,551661,0.8995583570982151,1.1034720722018194,0.18145,1169060.193,755.0,147532.884,-3.3600000000000136,13.480744709889564,1.0
2026-08-03,TSLA,322.78,1166,2026-08-03|2026-08-05|2026-08-07|2026-08-10,1538259,976783,303380,239474,0.6349925467687821,0.789353286307601,0.4852,315123.17000000004,325.0,72622.832,2.220000000000028,24.00308559523704,1.0
2026-08-04,AAPL,309.38,518,2026-08-05|2026-08-07|2026-08-10|2026-08-12,741201,216327,254302,141758,0.2918601027251717,0.5574395797123105,0.33425,361367.7540000001,310.0,153354.53100000002,0.6200000000000045,40.46484771730841,1.0
2026-08-04,AMD,518.58,1490,2026-08-05|2026-08-07|2026-08-10|2026-08-12,279203,156275,136942,130704,0.5597181978703667,0.9544478684406535,1.9242,30237.952000000005,500.0,4899.803,-18.58000000000004,9.12247328995219,1.0
2026-08-04,AMZN,277.42,516,2026-08-05|2026-08-07|2026-08-10|2026-08-12,367978,228566,203718,162239,0.6211403942627005,0.7963901078942459,0.43905,170250.95500000002,280.0,39005.74800000001,2.579999999999984,9.931298816753204,0.0
2026-08-04,AVGO,418.16,780,2026-08-05|2026-08-07|2026-08-10|2026-08-12,100924,45590,54426,44580,0.4517260512861162,0.8190938154558484,0.7322500000000001,51664.57800000001,400.0,7149.498,-18.160000000000025,7.989837590134897,1.0
2026-08-04,DIA,540.43,714,2026-08-07|2026-08-14|2026-08-21|2026-08-28,36650,33996,61510,67585,0.9275852660300136,1.0987644285482034,0.14115,112205.589,537.0,19577.881,-3.42999999999995,15.31998976281557,1.0
2026-08-04,GOOGL,377.65,680,2026-08-05|2026-08-07|2026-08-10|2026-08-12,180376,77985,108900,75811,0.4323468754157981,0.6961524334251606,0.3901,125944.663,375.0,27777.161,-2.6499999999999773,24.422575356218704,1.0
2026-08-04,INTC,100.86,678,2026-08-05|2026-08-07|2026-08-10|2026-08-12,591660,160749,198270,126895,0.2716915120170368,0.640011095980229,1.2307,430646.653,100.0,98218.969,-0.8599999999999994,29.65474848729254,1.0
2026-08-04,IWM,301.71,688,2026-08-04|2026-08-05|2026-08-06|2026-08-07,794484,497460,151914,567569,0.6261422508193998,3.736120436562792,0.08015,560059.612,302.0,248964.907,0.2900000000000204,37.92410203721865,1.0
2026-08-04,META,587.94,1304,2026-08-05|2026-08-07|2026-08-10|2026-08-12,171659,68667,118397,74090,0.4000198067098142,0.6257759909457166,0.48195,20010.706,600.0,9281.603,12.059999999999944,18.689865277935453,1.0
2026-08-04,MRVL,218.59,746,2026-08-07|2026-08-14|2026-08-21|2026-08-28,134700,55063,258497,177017,0.4087824795842613,0.6847932471169879,1.23625,85626.737,240.0,17436.643,21.41,9.470977506811062,1.0
2026-08-04,MSFT,492.81,778,2026-08-05|2026-08-07|2026-08-10|2026-08-12,301148,137681,131365,126280,0.4571871637865767,0.9612910592623606,0.42145,68382.54099999998,500.0,21536.209,7.189999999999998,26.672021759545483,1.0
2026-08-04,MU,892.67,2146,2026-08-05|2026-08-07|2026-08-10|2026-08-12,296467,178679,154342,269658,0.6026943976901308,1.7471459486076375,1.32625,9774.02,900.0,4107.136,7.330000000000041,39.86467441061679,1.0
2026-08-04,NFLX,73.57,536,2026-08-07|2026-08-14|2026-08-21|2026-08-28,157460,39966,639211,325095,0.253816842372666,0.5085879310587583,0.4555,719599.5909999999,75.0,222183.51100000003,1.4300000000000068,20.22195867788014,1.0
2026-08-04,NVDA,211.94,542,2026-08-05|2026-08-07|2026-08-10|2026-08-12,1291044,574909,589491,394099,0.4453055046923265,0.6685411651747015,0.448,1428746.917,210.0,326295.414,-1.9399999999999973,25.50133393721228,1.0
2026-08-04,PENG,57.84,208,2026-08-21|2026-09-18|2026-10-16|2026-12-18,1511,1852,34010,26519,1.2256783587028457,0.7797412525727727,1.1888999999999998,4203.023999999993,80.0,5461.628000000001,22.16,4.034127522238004,0.0
2026-08-04,QQQ,723.85,1518,2026-08-04|2026-08-05|2026-08-06|2026-08-07,4302078,3650429,467959,800758,0.8485269211762316,1.7111712778256214,0.2877,402200.798,720.0,54594.087,-3.850000000000023,14.293546895017387,1.0
2026-08-04,SMH,575.71,1102,2026-08-05|2026-08-07|2026-08-10|2026-08-12,29243,134801,59266,232887,4.609684368908798,3.929521141970101,0.7026,20264.426,575.0,4597.933,-0.7100000000000364,23.448063062825423,1.0
2026-08-04,SNDK,1427.62,3212,2026-08-07|2026-08-14|2026-08-21|2026-08-28,71591,64107,131299,149464,0.8954617200486095,1.1383483499493523,2.09475,467.18,1400.0,208.288,-27.61999999999989,8.822001782001912,1.0
2026-08-04,SOXL,139.9,1422,2026-08-07|2026-08-14|2026-08-21|2026-08-28,111575,156689,190914,459035,1.404337889312122,2.4044072200048188,2.24605,37105.154,130.0,10225.293,-9.900000000000006,19.2956149367288,1.0
2026-08-04,SPY,771.33,1336,2026-08-04|2026-08-05|2026-08-06|2026-08-07,8885051,5496096,698803,1277003,0.6185778787313657,1.827414879443849,0.1699,640084.2670000001,773.0,91558.332,1.669999999999959,12.463944906256526,1.0
2026-08-04,TSLA,327.35,1114,2026-08-05|2026-08-07|2026-08-10|2026-08-12,881724,457446,295078,230005,0.5188086067749091,0.7794718684551203,0.6255,274370.853,330.0,65973.964,2.6499999999999773,24.68897543045043,1.0
2026-08-05,AAPL,311.0,538,2026-08-05|2026-08-07|2026-08-10|2026-08-12,941999,338964,317603,170321,0.3598347768946676,0.536270123393041,0.29135,495378.233,310.0,208781.002,-1.0,47.85832384749457,1.0
2026-08-05,AMD,482.05,1542,2026-08-05|2026-08-07|2026-08-10|2026-08-12,377603,274006,234508,194651,0.7256457178571145,0.8300399133505041,0.5942500000000001,11056.943,482.5,7478.768,0.4499999999999886,21.54468975689441,1.0
2026-08-05,AMZN,272.65,516,2026-08-05|2026-08-07|2026-08-10|2026-08-12,431996,279554,255633,175267,0.6471217326086353,0.6856196187503178,0.22135,156535.29899999997,280.0,49361.25400000001,7.350000000000023,20.451732788851995,1.0
2026-08-05,AVGO,418.28,794,2026-08-05|2026-08-07|2026-08-10|2026-08-12,78580,39256,77581,62372,0.499567319928735,0.8039597324087083,0.9148,88944.706,420.0,34316.15900000001,1.7200000000000273,43.34041527125266,1.0
2026-08-05,DIA,542.81,930,2026-08-07|2026-08-14|2026-08-21|2026-08-28,25678,35113,69033,82603,1.3674351585014408,1.1965726536583952,0.1498,95434.063,550.0,19089.998,7.190000000000055,16.16131479643827,1.0
2026-08-05,GOOGL,362.43,680,2026-08-05|2026-08-07|2026-08-10|2026-08-12,393169,242070,138213,105932,0.6156894363492544,0.7664402046117225,0.4698,45990.65499999999,380.0,13032.837,17.569999999999993,4.316440510817534,0.0
2026-08-05,INTC,101.06,682,2026-08-05|2026-08-07|2026-08-10|2026-08-12,433474,164373,300037,188708,0.3791992137936762,0.6289490962781257,0.555,660166.345,102.0,224549.964,0.9399999999999976,40.45582558242026,1.0
2026-08-05,IWM,299.77,688,2026-08-05|2026-08-06|2026-08-07|2026-08-10,491827,543736,185571,533533,1.1055432092992048,2.8750882411583705,0.0779,260188.458,305.0,83688.749,5.230000000000018,9.495804634256196,0.0
2026-08-05,META,588.77,1304,2026-08-05|2026-08-07|2026-08-10|2026-08-12,299486,131210,149843,83257,0.4381173076537801,0.5556282242080044,0.40595,54055.928,590.0,25020.967,1.2300000000000182,42.88067158846461,1.0
2026-08-05,MRVL,211.02,836,2026-08-07|2026-08-14|2026-08-21|2026-08-28,37064,26035,282752,197086,0.702433628318584,0.6970277840651878,1.11515,73909.917,240.0,19414.344,28.97999999999999,4.709654431191304,1.0
2026-08-05,MSFT,487.46,798,2026-08-05|2026-08-07|2026-08-10|2026-08-12,274643,194857,174525,158450,0.709491958651777,0.9078928520269304,0.398,7363.8650000000125,500.0,10707.304,12.54000000000002,4.916164195366346,0.0
2026-08-05,MU,893.19,2146,2026-08-05|2026-08-07|2026-08-10|2026-08-12,451042,299926,189134,318701,0.6649624646928668,1.6850539828904374,2.2499,18199.35,900.0,7869.793,6.809999999999945,41.17287224286128,1.0
2026-08-05,NFLX,74.2,536,2026-08-07|2026-08-14|2026-08-21|2026-08-28,148579,36482,684749,334111,0.2455394100108359,0.4879320743805394,0.40675,1389235.172,75.0,543178.819,0.7999999999999972,39.53570585191016,1.0
2026-08-05,NVDA,219.22,542,2026-08-05|2026-08-07|2026-08-10|2026-08-12,3281467,1288266,712865,454945,0.3925884368180451,0.6381923646132157,0.1359,3490070.7140000006,220.0,2654957.0450000004,0.7800000000000011,94.17560756740131,1.0
2026-08-05,PENG,55.72,208,2026-08-21|2026-09-18|2026-10-16|2026-12-18,1925,323,34306,27008,0.1677922077922078,0.7872675333760858,1.1615,1847.0519999999988,80.0,5340.116,24.28,3.059190585898464,0.0
2026-08-05,QQQ,717.3,1726,2026-08-05|2026-08-06|2026-08-07|2026-08-10,3138495,3171930,605259,914575,1.0106531952416684,1.5110473367599655,0.2888,241819.62300000005,725.0,55152.10500000001,7.700000000000045,14.109498241257436,1.0
2026-08-05,SMH,569.7,1106,2026-08-05|2026-08-07|2026-08-10|2026-08-12,23047,73344,66574,329639,3.182366468520849,4.951467539880434,0.9003000000000001,10176.823,580.0,5490.602,10.299999999999956,5.525689475676862,0.0
2026-08-05,SNDK,1350.5,3212,2026-08-07|2026-08-14|2026-08-21|2026-08-28,113157,83015,144333,171222,0.7336267310020591,1.186298351728295,2.0704,-231.799,1385.0,18.5,34.5,0.0533122517798365,0.0
2026-08-05,SOXL,132.07,1422,2026-08-07|2026-08-14|2026-08-21|2026-08-28,53360,153620,210701,497241,2.878935532233883,2.35993659261228,1.8397,24395.294,150.0,7643.077999999999,17.930000000000007,3.183869772525597,0.0
2026-08-05,SPY,769.79,1388,2026-08-05|2026-08-06|2026-08-07|2026-08-10,5576417,5906674,823337,1467947,1.05922387081167,1.7829236388016083,0.1547,257164.085,773.0,122185.612,3.2100000000000364,7.707787104272565,0.0
2026-08-05,TSLA,321.55,1118,2026-08-05|2026-08-07|2026-08-10|2026-08-12,997128,768153,389327,282594,0.7703654896863793,0.7258525609577553,0.1998,298330.862,322.5,76259.15200000002,0.9499999999999886,32.08388056361632,1.0
2026-08-06,AAPL,312.41,582,2026-08-07|2026-08-10|2026-08-12|2026-08-14,746433,288336,345544,177044,0.3862851722793606,0.512363114393536,0.27595,587597.9820000001,310.0,155020.788,-2.410000000000025,27.148329970438787,1.0
2026-08-06,AMD,489.28,1698,2026-08-07|2026-08-10|2026-08-12|2026-08-14,179935,119270,190040,202519,0.6628504737821991,1.0656651231319725,0.7874,30522.154000000013,500.0,7539.406999999999,10.720000000000027,11.958479191870698,1.0
2026-08-06,AMZN,272.26,542,2026-08-07|2026-08-10|2026-08-12|2026-08-14,207514,105137,260116,173099,0.506650153724568,0.6654684832920696,0.3647,216461.268,275.0,93816.307,2.740000000000009,31.20278465511641,1.0
2026-08-06,AVGO,420.565,816,2026-08-07|2026-08-10|2026-08-12|2026-08-14,58261,24204,79889,73384,0.4154408609532963,0.9185745221494824,0.5443,60388.52999999999,425.0,12489.171,4.435000000000002,20.29292962162857,1.0
2026-08-06,DIA,538.19,942,2026-08-07|2026-08-14|2026-08-21|2026-08-28,25404,42996,73589,96391,1.6924893717524798,1.3098560926225389,0.13555,48646.80500000001,537.0,26954.323000000004,-1.1900000000000546,15.317988475803157,0.0
2026-08-06,GOOGL,357.75,792,2026-08-07|2026-08-10|2026-08-12|2026-08-14,143011,88677,156291,104148,0.6200711833355476,0.6663723438969614,0.3339,67953.503,357.5,19607.72,-0.25,30.020715017209827,1.0
